预告,#genre#
2024年,http://tang.serv00.net/music/play?&token=8142df7d
台灣頻道,#genre#
民視,https://tang.serv00.net/zb/99.php?id=26&token=8142df7d
民視,https://tang.serv00.net/zb/99.php?id=336&token=8142df7d
民視,https://tang.serv00.net/zb/99.php?id=2805&token=8142df7d
台視,https://tang.serv00.net/zb/99.php?id=326&token=8142df7d
台視,https://tang.serv00.net/zb/99.php?id=312&token=8142df7d
中視,https://tang.serv00.net/zb/99.php?id=333&token=8142df7d
中視,https://tang.serv00.net/zb/99.php?id=1041&token=8142df7d
華視,https://tang.serv00.net/zb/99.php?id=32&token=8142df7d
華視,https://tang.serv00.net/zb/99.php?id=2282&token=8142df7d
公視,https://tang.serv00.net/zb/99.php?id=86&token=8142df7d
公視,https://tang.serv00.net/zb/99.php?id=28&token=8142df7d
好消息,https://tang.serv00.net/zb/99.php?id=104&token=8142df7d
客家電視,https://tang.serv00.net/zb/99.php?id=76&token=8142df7d
緯來綜合,https://tang.serv00.net/zb/99.php?id=2726&token=8142df7d
八大第一,https://tang.serv00.net/zb/99.php?id=318&token=8142df7d
八大綜合,https://tang.serv00.net/zb/99.php?id=2286&token=8142df7d
三立臺灣,https://tang.serv00.net/zb/99.php?id=35&token=8142df7d
三立臺灣,https://tang.serv00.net/zb/99.php?id=21&token=8142df7d
三立臺灣,https://tang.serv00.net/zb/99.php?id=2436&token=8142df7d
三立都會,https://tang.serv00.net/zb/99.php?id=2435&token=8142df7d
三立都會,https://tang.serv00.net/zb/99.php?id=1001&token=8142df7d
三立都會,https://tang.serv00.net/zb/99.php?id=38&token=8142df7d
華藝綜合,https://tang.serv00.net/zb/99.php?id=342&token=8142df7d
東森綜合,https://tang.serv00.net/zb/99.php?id=372&token=8142df7d
東森超視,https://tang.serv00.net/zb/99.php?id=80&token=8142df7d
東森購物2,https://tang.serv00.net/zb/99.php?id=1156&token=8142df7d
中天綜合,https://tang.serv00.net/zb/99.php?id=54&token=8142df7d
中天綜合,https://tang.serv00.net/zb/99.php?id=3072&token=8142df7d
中天娛樂,https://tang.serv00.net/zb/99.php?id=324&token=8142df7d
TVBS歡樂,https://tang.serv00.net/zb/99.php?id=40&token=8142df7d
JET綜合,https://tang.serv00.net/zb/99.php?id=41&token=8142df7d
東森購物1,https://tang.serv00.net/zb/99.php?id=1155&token=8142df7d
TVBS,https://tang.serv00.net/zb/99.php?id=2273&token=8142df7d
TVBS,https://tang.serv00.net/zb/99.php?id=16&token=8142df7d
緯來育樂,https://tang.serv00.net/zb/99.php?id=338&token=8142df7d
緯來育樂（測試）,https://tang.serv00.net/zb/99.php?id=2772&token=8142df7d
緯來日本,https://tang.serv00.net/zb/99.php?id=337&token=8142df7d
緯來日本,https://tang.serv00.net/zb/99.php?id=46&token=8142df7d
國興衛視,https://tang.serv00.net/zb/99.php?id=65&token=8142df7d
信大電視,https://tang.serv00.net/zb/99.php?id=422&token=8142df7d
八大娱乐,https://tang.serv00.net/zb/99.php?id=105&token=8142df7d
公視3台,https://tang.serv00.net/zb/99.php?id=1340&token=8142df7d
好消息2,https://tang.serv00.net/zb/99.php?id=363&token=8142df7d
高點綜合,https://tang.serv00.net/zb/99.php?id=99&token=8142df7d
中天亞洲,https://tang.serv00.net/zb/99.php?id=2277&token=8142df7d
中天亞洲,https://tang.serv00.net/zb/99.php?id=322&token=8142df7d
民視綜藝,https://tang.serv00.net/zb/99.php?id=98&token=8142df7d
民視第一台,https://tang.serv00.net/zb/99.php?id=34&token=8142df7d
民視台灣,https://tang.serv00.net/zb/99.php?id=36&token=8142df7d
龍華日韓,https://tang.serv00.net/zb/99.php?id=382&token=8142df7d
豬哥亮歌廳秀,https://tang.serv00.net/zb/99.php?id=75&token=8142df7d
豬哥會社,https://tang.serv00.net/zb/99.php?id=103&token=8142df7d
ELTA娛樂台,https://tang.serv00.net/zb/99.php?id=351&token=8142df7d
韓國娛樂,https://tang.serv00.net/zb/99.php?id=73&token=8142df7d
靖天國際,https://tang.serv00.net/zb/99.php?id=345&token=8142df7d
靖天育樂,https://tang.serv00.net/zb/99.php?id=1029&token=8142df7d
靖天日本,https://tang.serv00.net/zb/99.php?id=108&token=8142df7d
靖天歡樂,https://tang.serv00.net/zb/99.php?id=51&token=8142df7d
三立綜合,https://tang.serv00.net/zb/99.php?id=315&token=8142df7d
三立綜合,https://tang.serv00.net/zb/99.php?id=2815&token=8142df7d
靖天資訊,https://tang.serv00.net/zb/99.php?id=49&token=8142df7d
靖天綜合,https://tang.serv00.net/zb/99.php?id=308&token=8142df7d
中視經典,https://tang.serv00.net/zb/99.php?id=185&token=8142df7d
中視菁采,https://tang.serv00.net/zb/99.php?id=74&token=8142df7d
TVBS精采,https://tang.serv00.net/zb/99.php?id=66&token=8142df7d
TVBS精采,https://tang.serv00.net/zb/99.php?id=117&token=8142df7d
年代much,https://tang.serv00.net/zb/99.php?id=1359&token=8142df7d
ELTA綜合,https://tang.serv00.net/zb/99.php?id=1137&token=8142df7d
TVN台湾版,https://tang.serv00.net/zb/99.php?id=2288&token=8142df7d
東森購物3,https://tang.serv00.net/zb/99.php?id=1584&token=8142df7d
MOMO購物1,https://tang.serv00.net/zb/99.php?id=1585&token=8142df7d
MOMO購物2,https://tang.serv00.net/zb/99.php?id=1586&token=8142df7d
美好購物1,https://tang.serv00.net/zb/99.php?id=1591&token=8142df7d
美好購物2,https://tang.serv00.net/zb/99.php?id=1592&token=8142df7d
大立電視,https://tang.serv00.net/zb/99.php?id=1593&token=8142df7d
國會頻道１,https://tang.serv00.net/zb/99.php?id=2614&token=8142df7d
國會頻道2,https://tang.serv00.net/zb/99.php?id=420&token=8142df7d
海豚綜合,https://tang.serv00.net/zb/99.php?id=262&token=8142df7d
台灣地震監視,https://tang.serv00.net/zb/99.php?id=2637&token=8142df7d
誠心電視,https://tang.serv00.net/zb/99.php?id=495&token=8142df7d
第一名電視,https://tang.serv00.net/zb/99.php?id=216&token=8142df7d
中視經典綜藝,https://tang.serv00.net/zb/99.php?id=2773&token=8142df7d
三立新聞,https://tang.serv00.net/zb/99.php?id=43&token=8142df7d
三立新聞,https://tang.serv00.net/zb/99.php?id=2794&token=8142df7d
三立新聞,https://tang.serv00.net/zb/99.php?id=2392&token=8142df7d
三立+,https://tang.serv00.net/zb/99.php?id=320&token=8142df7d
東森新聞,https://tang.serv00.net/zb/99.php?id=1025&token=8142df7d
東森新聞4,https://tang.serv00.net/zb/99.php?id=2766&token=8142df7d
東森新聞,https://tang.serv00.net/zb/99.php?id=1358&token=8142df7d
東森新聞,https://tang.serv00.net/zb/99.php?id=2393&token=8142df7d
東森亞洲,https://tang.serv00.net/zb/99.php?id=3&token=8142df7d
中天新聞2台,https://tang.serv00.net/zb/99.php?id=152&token=8142df7d
中天新聞,https://tang.serv00.net/zb/99.php?id=2420&token=8142df7d
民視新聞,https://tang.serv00.net/zb/99.php?id=2395&token=8142df7d
民視新聞,https://tang.serv00.net/zb/99.php?id=13&token=8142df7d
TVBS新聞,https://tang.serv00.net/zb/99.php?id=2736&token=8142df7d
TVBS新聞,https://tang.serv00.net/zb/99.php?id=2&token=8142df7d
TVBS新聞,https://tang.serv00.net/zb/99.php?id=2396&token=8142df7d
東森財經,https://tang.serv00.net/zb/99.php?id=2397&token=8142df7d
東森財經,https://tang.serv00.net/zb/99.php?id=12&token=8142df7d
華視新聞,https://tang.serv00.net/zb/99.php?id=2424&token=8142df7d
華視新聞,https://tang.serv00.net/zb/99.php?id=1171&token=8142df7d
三立iNEWS,https://tang.serv00.net/zb/99.php?id=6&token=8142df7d
台視新聞,https://tang.serv00.net/zb/99.php?id=2399&token=8142df7d
台視新聞,https://tang.serv00.net/zb/99.php?id=1&token=8142df7d
中視新聞,https://tang.serv00.net/zb/99.php?id=2400&token=8142df7d
寰宇新聞,https://tang.serv00.net/zb/99.php?id=2401&token=8142df7d
寰宇新聞,https://tang.serv00.net/zb/99.php?id=304&token=8142df7d
寰宇財經,https://tang.serv00.net/zb/99.php?id=2536&token=8142df7d
公視新聞,https://tang.serv00.net/zb/99.php?id=20&token=8142df7d
寰宇臺灣,https://tang.serv00.net/zb/99.php?id=87&token=8142df7d
年代新聞,https://tang.serv00.net/zb/99.php?id=2719&token=8142df7d
年代新聞,https://tang.serv00.net/zb/99.php?id=1099&token=8142df7d
壹新聞,https://tang.serv00.net/zb/99.php?id=2777&token=8142df7d
壹新聞,https://tang.serv00.net/zb/99.php?id=494&token=8142df7d
鏡新聞mnews,https://tang.serv00.net/zb/99.php?id=463&token=8142df7d
三立国際,https://tang.serv00.net/zb/99.php?id=2285&token=8142df7d
CBN News,https://tang.serv00.net/zb/99.php?id=499&token=8142df7d
東森戲劇,https://tang.serv00.net/zb/99.php?id=2825&token=8142df7d
東森戲劇,https://tang.serv00.net/zb/99.php?id=321&token=8142df7d
八大戲劇,https://tang.serv00.net/zb/99.php?id=81&token=8142df7d
緯來戲劇,https://tang.serv00.net/zb/99.php?id=2727&token=8142df7d
緯來戲劇,https://tang.serv00.net/zb/99.php?id=339&token=8142df7d
東森電影,https://tang.serv00.net/zb/99.php?id=350&token=8142df7d
東森電影,https://tang.serv00.net/zb/99.php?id=2720&token=8142df7d
緯來電影,https://tang.serv00.net/zb/99.php?id=2728&token=8142df7d
HBO HD,https://tang.serv00.net/zb/99.php?id=332&token=8142df7d
HBO HD,https://tang.serv00.net/zb/99.php?id=2823&token=8142df7d
東森洋片,https://tang.serv00.net/zb/99.php?id=1128&token=8142df7d
壹電影,https://tang.serv00.net/zb/99.php?id=2284&token=8142df7d
好萊塢電影,https://tang.serv00.net/zb/99.php?id=37&token=8142df7d
愛爾達影劇,https://tang.serv00.net/zb/99.php?id=500&token=8142df7d
CineMAX,https://tang.serv00.net/zb/99.php?id=346&token=8142df7d
靖天映畫,https://tang.serv00.net/zb/99.php?id=349&token=8142df7d
靖洋戲劇,https://tang.serv00.net/zb/99.php?id=319&token=8142df7d
緯來精彩,https://tang.serv00.net/zb/99.php?id=2280&token=8142df7d
EYE戲劇,https://tang.serv00.net/zb/99.php?id=191&token=8142df7d
三立戲劇,https://tang.serv00.net/zb/99.php?id=64&token=8142df7d
